text,cEXT,cNEU,cAGR,cCON,cOPN
Is Christina still on the phone? At 9:00 I can finish this and go to the grocery store. It's on. I wish I could have napster on Ethernet. I am really hungry. I wish I could have worked out more today. I should write what I'm talking about. I wish I could type with the right fingers. Why didn't I learn to do that? It was an important step I missed. I think the grocery store is on red river. I wish the door were shut. I wish somebody had emailed me today. Hopefully zac can help me with calculus. I can't remember anything. The teacher didn't even go over it with us. I'm really nervous about the quiz. Five hundred twenty five thousand six hundred minutes. Wow this really sucks. I have so much to do. It seems like I do nothing during the day. Maybe I should have stayed at the dance thing. Now I'm getting in the flow of typing. This split keyboard sucks for pecking. I wish I knew what to do about track. The phone is ringing. I miss my sister. I am glad I went to the grocery store last night. I hope dad doesn't get mad about the money I'm spending. I can kind of hear Saturday night live. I don't know how Christina concentrates in front of the TV. I had an itch in my nose. I can't wait until after my quiz. The hamburgers will be good at the KA house. I hope I have time to work out today. I think I will never be the size I want to be. Why do I have a rash on my ass? Its good I took a shower last night. I like my tri delt shirt. It seems like the time is passing very slowly. Only seven more minutes. Should I take a nap after this or study math or eat lunch? Ill ask Christina. Maybe she'll eat with me. I like the cafeteria food. I wish everybody treated the help better. Word perfect sucks. I hate the little green and red squigglies. There are worse things I could do. Somebody's knocking at the door. It's probably Elaine. No it's Bita. Is she talking to Greg? Is Christina going to be hungry? Man I hate those squiggly lines! I wonder if I should call the ticket office. I wonder if I'll need to study hard for this class. So far I've only done the pretesting and the writing. It's not even sunny still! That's awesome. I hate the heat. I can't wait until its fall. I love wearing jeans and sweat pants. I can run outside. Maybe then I'll get skinny. Mariah Carrey has a good voice? Where is she? Jessica Simpson sucks. She's ugly too. Her boyfriend is gay. Their relationship seems fake. My relationship is good. Jorde is great. I'm glad he's doing a frat. I hope they don't be hard on him. That is so gay that they do that to guys. I don't get it. Only two more minutes. It doesn't seem like I've written all that much. How are they going to know anyway? I doubt they'll even read that much of it. Bita talks a lot. She always has. That reminds me of Miss A. She never calls me. Why do I have to call everyone? Nobody ever calls me. Juliana emails a lot. I should e mail everyone. I'm much too busy for that. I need to call Dad. I want him to call me right now. At least that guy fixed the Internet. I need to learn to type. Okay I think I can stop now. I still feel like I should write more. Am I a perfectionist? I wonder if we'll learn that in psychology. ,high,high,low,low,high
I don't really know what I should write about. I guess I'm feeling alright. My class was cancelled for today so I had the whole day off. I rented Sling Blade which I liked the movie had people with psychological problems like the guy who is always talking about women he killed and the main character who cuts peoples heads open every once in a while if he feel s it is necessary. The keyboard on the computer sucks since the space bar key keeps on sticking whenever I try to push it down. I am kind of nervous about classes because last semester I screwed up grade wise after keeping an almost 4. 0 GPA for 2 and 1/2 semesters. I have never taken psychology before in high school and I wish I had since it would make the class easier now when I take it. I really can't type continuously for twenty minutes without having a definite subject so I keep having to stop and think of something to type. One of my goals this semester is to stop watching TV so often because that is what I feel screwed me up last semester since I was always staring at the screen either their or while surfing the web. Now I beginning to feel a little grossed out because I was just thinking about our dorm meeting where they told us housekeeping comes in only every other day to clean the bathroom when they used to come every day and it was still pretty dirty now it is going to be even worse. I guess it has been about twenty minutes now I forgot what time I started typing at since I forgot to write it down I thought I would have remembered. So I'm just going to call it a night. ,low,high,low,low,low
" I feel very awkward about having an assignment that doesn't give exact specifications as to what is supposed to be produced. I know I'm supposed to write about what I am feeling, but that is a very difficult thing to do for me. I don't usually tell anyone how I am really feeling ever. I'm worried that I might not be studying as much as I should be. I don't exactly know what to study for any of my classes. I mean I know I could read the texts, but I really don't think that would do me any good since I have yet to be lectured in any of my classes except for math. I hate math. I don't think my pre-calculus professor is very good at explaining anything. He is always getting side-tracked and making all kinds of mistakes. I don't think I'm going to do very well in his class and it really bothers me. I miss my boyfriend a lot. He is going to school in El Paso and I'm not going to see him for at least three more months. I tried living with him in El Paso for a couple of months but all we did is get on each others nerves. I was going to go to school with him, but I decided to move back to Austin because we were starting to hate each other and I missed my family a lot also. It's weird but we drive each other crazy when we are together and we miss each other like crazy when we are apart. I really don't understand it at all. I wonder about what he is doing a lot and miss him holding me at night. I know I need him and he needs me, and I really hate it. I have always thought of myself as the strong independent type who didn't need anyone, but I know the truth even though I would never admit it to even my closet friends. I wonder if my friend did okay at her new job orientation today. She was so excited when she got hired. I really feel insignificant sitting in this huge library, on this huge campus, in the middle of a huge state, writing about what I am thinking. I mean who really cares anyway?  People are always asking you how you feel, but I'm pretty sure they don't care how you respond. I know lots of times I ask people how they feel and then totally ignore them afterwards. I hate when people look at me in queer ways. I always wonder about what people are thinking of me when they look at me. I wish I didn't care, but I do. ",low,low,low,high,high
"     I'm just sitting here in my dorm room wondering what exactly i'm supposed to do on this assignment. Will the professor scold me for writing the incorrect responses?  I'm not sure. I can hear 2 things right now. One in my air conditioner. It sounds like a small, fast moving fan. A fast moving fan that doesn't seem to cool the room at all. I can also hear the neighbors' music through the wall. Now that I think of it, i can hear the soft hum of my computer as well. I'm looking at an award that's hanging on my wall I earned playing tennis for my high school. Now i'm thinking about my high school friends. Steph, Bree, Ki, Ashley, James, Niko, John, and Kenton were my closest friends. I miss them but I'm so excited about my new life. Ryan was my good friend in high school too, but I guess i didn't include him in that list because he's my roomate. I was going to try and not mention Annie, but that's really who I'm thinking about. I met Annie at Camp Texas about a week before school. She's a really wonderful person that I'm very attracted too. I'm looking at a Charlie Brown pez dispencer that she gave to me yesterday. Now I'm staring into my computer with because it has a large plexiglass window on the side. It's quite distracting, really. A jumble of customly installed wires is to me something like a low rider car to another person. Now i see a router that I'm going to use to hook up our network when we get road runner installed in our dorm room. I took 2 years of networking class in high school, and after the first sememster i was convinced that was what i wanted to spend my life doing. However, I recently decided that networking wasn't my true aspiration so I don't really know what I want to do specifically. I'm told that's okay and i will figure it out soon enough, and i beleive it. I think I'm getting kind of sick so i took some medicine earlier and have a bad taste in my mouth from the medicine. Now i'm thinking I should go work out tomorrow at Gregory. My friend told me that there's another good gym near Gregory but there aren't as many girls there. Now I'm wondering what i'm going to write about for my last 10 minutes, I really have no clue. I could explain how I put my computer together, or what each part does. I could talk about my high school tennis experiences, about my family, or about my high school hobbies. My roomate has arrived and i greeted him, he went to his bed and is watching TV, some sort of sports I'm sure. We went to the football game last Saturday. UT won 27-0. UT scored all 27 points in the first half, so the second half was pretty boring. It was still better than I expected for my first college football game. I really want to go see the OU game this year, but tickets are a hot commodity. After this assignment, I'm going to try to do some Economics, and maybe Calculus. This class, Psychology, is the class I'm most worried about this semester. I took Calculus in high school and I think with a little studying I'll be able to make a B in it. I don't know why but I have a great understanding for Economics so I don't think that class will be incredibly hard either. My communications teacher said that her class would be hard, but I think I'm better at communications that Psychology. I also have BA 101 and a Freshman Interest group class but those are pretty much participation grades, so a little time a effort will ensure an A. My schedule is incredible. None of my classes start before 11, and I have Friday's off from school. I find upperclassmen drooling over this schedule, so to find it as a freshman is pretty incredible, I think. As my time winds down I wonder what exactly this class has in store for me. Even college. Heck, even life. I wonder what big decisions I will make, what lucky breaks I will get, what major crises i will encounter, and what disadvantages I will overcome. All I can do is wish myself and my fellow peers luck and great success to find what we truly desire. ",high,low,low,low,low
"       Relax, formation of thoughts energies retentions obsessions. dreams are an internal future, awake, shake dreams from you hair my prteey child, my sweet one. I hate the doors, overrated. haha. no time for mourning no time for myself, ah no time. I have fingers, delicate pulse wandering after to and thorugh away from the day. think about money take time for god, thats funny god. you prankster you. they are watching, everyone and everything is watching us wait, scream, die. take a life and flush it down, need to blow my nose, dont't have time. portability, portishead, pause, leters, phrases, extenuationg circumstances. ending crashing into denial. green shirt, fuzzy vision, orange face, ugly decision. computer labs, laptops, screens, sucking, good or bad?  I sthe computeer alive, does it feel, how does it know, so much more thatn you and I/  back slash, back flash how did I get here. laet me out of here i need help. don't read the past, just keep on truckin. someone should really rethink the design of a keyboard. Heonstly, who made these things?  I wish I could write with a pen, Ir doesn't even feel  like I am writeng, more like I am manipulating, words are simply appearing before me with strokes on stupid square buttons and blah. I need a lead pencil and some one hundred percent recycled paper, yes. jobs, havoe none. arms, mobing, my brain is telling them to do these things, but my brain operates on cruise contrl for the most part. I have a special softaware program gong on in my own personal computer, if you know what I mean. hehe. music is my love, I don't need men anymore, all Ineed is somethign soothing in my ear, and maybe a kiss on the cheek. wow, I really am pathetic, dearest me o me o my. jump around tinker toy thought to thought, mind wave and magistrate. optiplex, I always needed one of those. stupid dell. are artists really happy?  I wonder, they must be right?  how could they not be, seems most fulfilling. jsut laying yourself out on a canvas, ina pot, ona wall, ina shape, object, form, song, so on and so forth. yadda yadda, bulgaven. electric, electronica, ecstacy, love, adoration, wants and needs, I need attention, I am the first to admit it, I crave desire and love, as I should. who needs tacos?  I'll have one please  take it down, my one, be thine own creation. love yourself, be intoxicating. That has got to be the number one compliment. Imagine if someone says to you , you aer   intoxicating   good lord. must be nice. u are not alone, I need to get out. make space, show reason, study, create, imagine, juxtaposition of arms and legs, entangle a bodies own desire, the fetus cried last night, opt for internal discussion on top of the moon's clocktower, beings of all size, noble vixens and vultures, float and hum a sweet, sad song of remonition ",low,high,low,low,high
"This is a hard assignment in the sense that I do not know what I am thinking. I have so much homework to do today. I really wish that I had more time to do everything I need to do before a new week starts. I cannot believe that it is already September. I am so ready for another three day weekend. I wish we had another break before Thanksgiving holiday. It is such a pretty day outside. I really should have exercised. I wonder if I will have time tomorrow. Oh well. I really need to go grocery shopping. I have nothing to eat in the apartment. I should ask Kristen if she wants to go to the store with me. Something else I need to do is call Grace about my trip to visit her this October. I really hope that the trip works out. I miss her. She is the funniest girl ever. I really want Mexican food for dinner, but I am having Italian. Oh well, Italian could also be good. At least I won't eat a thousand chips before I even get my meal. Instead I will eat about a pound of bread. Does that even make sense? A pound of bread? Oh I guess I mean a loaf of bread. Whatever. It is so quiet in this room right now. I wish there was something going on so that I could have something funny to think and therefore type about. This stream a consciousness essay must be really boring for someone to read. Actually I bet some of them are really interesting to read. I always am wondering what other people are thinking about. I wish that I was a better typer. I am a little faster than I use to be, but I still make a ton of mistakes. This essay could get pretty long considering the amount of thoughts I have in a twenty minute period. Oh I guess that I am not the only person home right now. I heard a door close it must be Kristen or Catherine. I love living in an apartment. It is so different that last year. I never made my bed. I should get in the habit of making my bed when I get out of bed each day. But then I know I would want to take a nap that day, and then I would just mess up the covers again. Beds are meant to be unmade. I guess that is how I feel now, but wait until I have a family of my own. I totally will be just like my mom and make my kids make their bed every day. I wish that I was as organized as my mom. She always has everything in the right place. I guess I will grow into being more organized one of theses days. I guess? Wow the time really has gone faster than I expected for this essay. but now that I noticed the time I bet it goes even slower. I hate the feeling when you are in class and you think it is at least half over and it really has only been about 15 minutes. That happened to me in math Friday. I think because it was my last class on Friday, I was just anxious for the weekend. I love the weekends. I wish I could have gotten more sleep this weekend. I feel like I never get enough sleep. I in the the mood just to curl up in bed and watch a good movie. I wonder what movie? I really am in the mood for a really good movie that I have not seen or that I love. I have not been to the movie theater in so long. I think the last movie that I saw was Pirates of the Caribbean. It was good. Jonny Depp looked really crazy in the movie. Orlando Bloom is so cute. I wonder how old he is. I bet he is in his early twenties. Just the perfect age for me. I like the idea of the guy being a little older than the girl just because of maturity. I really wish that I had a crush on someone right now. I feel like there is no one I want to date right now. That is the worse feeling. What time is it. It is getting late. The day has gone by so fast. I need to do so many more things today. I should probably start taking my notes for Geography today so that I don't have so much to do tomorrow. I am so sick of taking notes right now though. I really need to stay motivated!  ",low,high,high,high,high
"I am so cold right now, and I want to take a really long nap. I have so many things to do and I don't know where to start. I miss my family and my boyfriend a whole lot. I don't know if I like the whole idea of growing up. Sometimes I wish I could be a kid forever. My roommate can sometimes become annoying and I just want to scream. My suitemates are cool though, although one of them smells kinda funny. I really want to go shopping this weekend and already can't wait for a break from school. The cafeteria food here is not that great. the enchiladas are fattening and spicy but the ice cream is good. I had the best ice cream the other day at Coldstone Creamery. It was cake batter flavor. Crazy ,huh?  I am trying to be accepted into different organizations right now as a freshman and still balance my schoolwork. I am now happy to be in the school of education. So many people have put me down and discouraged me for wanting to be a teacher and then a principal. But I am glad that I have stood by my own convictions and passions to become what I truly would love to be. I think I need to take a shower. I want to have a family when I am older and I can't wait to get married and have kids. Someone in this room needs to buy a mop because our floor is getting really gross. Our shower is very small in the first place and combined with being dirty, well that's just plain bad. I've met some really nice girls in some of my classes and I hope to build some very good friendships here in college. I tend to get stressed out easily and am very anxious about tests and other important things. I play with my hair a lot and as a result I need to get my hair trimmed. People think it is ridiculous but I have done it since I was a child. I had a conflict with my sister this weekend. I hate to say this but sometimes she can be a very uncaring person. She is the only family member that lives close and she doesn't act like she wants me to be a part of her life. I think she is just self-centered and almost jealous of my involvement"" in college which she did not take advantage off. It's not my fault that she lived off campus for her first year. I hope that they have a computer for me and don't run out at the computer store on Friday. I really need one and hate relying on someone else's. I wish I was able to pay for it but right now I am unable to work and a thousand dollars is usually not in a college student's budget. My mom is the greatest mom there ever was. She would do anything for me. anything. I wish that her and my dad were closer though. When I was little we would always go on family adventures and now we seem to be more distant. I really hope that I can plan a trip to go on for Spring Break with my boyfriend. I have never really gone on a trip all by myself before. I wonder if my friend martin from Germany is going to email me back. I haven't heard from him in awhile but I think sometimes he behaves in ways that I would not tolerate. I wish my razor didn't hurt my skin. I guess I need to buy a new blade. My little sister is painting her wall with a mural of New York city. she has this wild idea of becoming a dancer when she grows up but I don't know about that. My mom is helping her look at dance colleges right now but I think she should be a little more realistic. I really want to go home right now and eat a home cooked meal and take a shower where I can actually move around. I really need a hug and a kiss from my boyfriend. I am not used to being so far away from him and sometimes I worry that we are going to become distant and that our relationship isn't going to work out. I really could see us getting married but I guess I should leave that to God, if you know what I mean. I love pizza an ice cream. I wish they weren't so fattening. I need to go kickbox this week. It's not the same here as it is at 24 hour fitness. It's cool though. good exercise. I'm really tired of typing. I got to go tan outside today. ",low,high,high,high,low
"I don't know what I'm doing tonight. There's a Cory Morrow concert at the Midnight Rodeo place on Ben White. I have no idea how I would get there. Maybe I could get my ex-girlfriend to take me, but that'd be pretty weird. I was just looking online and saw that some OU/UT tickets are going for like $2000. I don't know what people were thinking when they didn't get reserved season football tickets. I just had to go up to the line once and got all my tickets for the entire season, including the OU/UT game. Pretty cool. Ya, Mike's getting upset at me cause I'm not going to College Station this weekend. Instead, I'm going to go see Jerry Jeff Walker in Gruene on Saturday. God, I hate this Nashville country thing. I got to change the radio station. It's upsetting. I wonder where my roomate Houston is. He was supposed to be back around 4:30 and he still hasn't showed up. Oh well. I got all of my calculus homework except for like 2 problems done, so that's pretty cool. I wish he would clean his side of the room a little more. I want to go play soccer tonight at Clark Field, but they're like watching American Pie 2 tonight. That's really cool. Oh well. Haha, it's only been four minutes? This is going to take forever. I can't wait to go back to St. Joe for homecoming. I want to go to the alumni party before the game. Supposedly, it's pretty fun. They don't really mind at all if you're underage. Haha. My leg is hurting because I'm pressing it up against the table while i write. What other homework do I have to do tonight? Hm. . . Oh, I have to print out some Spanish worksheets. My computer keeps humming at odd intervals. I wonder what's going on there. I can't find a decent radio station that I can recieve in my dorm. I'm going to put some music from Kazaa on. Haha, just kidding. Travis Tritt- It's a Great Day to be Alive just came on. Haha. I hope ya'll don't really care about grammar and all that because I'm just trying to write quickly without caring about that kind of stuff. This song reminds me of Garner State Park. That was a blast. They have these dances every night and most people at the park go there. It's awesome. My buddies and I met all these cute girls from Baytown, or something like that. All I know is that I want to go to Baytown sometime! haha. My bed isn't too comfy. It could be a lot nicer. I need to fix that somehow. Great, this song is ending. I wonder what's next. Haha, a little Kazaa is next. You ever listened to   Me and Billy the Kid   by Pat Green? Let me tell ya, it's a good song. I wish I could play the fiddle that well. I need to sign up for a music course next semester on how to play the fiddle . That'd be cool. I suck at it now, but being good at it wouldn't be bad. haha. Only halfway done. I wonder how much people write in these things. I bet reading them is pretty darn interesting. Haha i held back with the   darn   right there. haha. Anyways, I don't want to do calculus. The fiddle sounds really cool in this song. Here's the solo. IT soudns awesome. Seriously, download the song and listen to the solo. You'll like it. . . if you're a Texan. . haha. I hate Antonian high school. My buddy sent me a link to a webpage of theirs, and they were all proud of having made it to the state semis in baseball. Funny thing is, they lost in the first round of playoffs. We had the same records last year (need to change song again) but they went to playoffs because they had a better head to head record. We lost to them both times in the bottom of the last inning. You have no idea how upset we were. A freaking junior dropped a fly ball in the outfield to give them the tying run. I'm still pissed about that, but oh well. This song is awesome. Southbound 35 by Pat Green. It talks about coming back to Texas when he's leaving in Kansas. It's pretty cool. So what else. . I don't know how I'm getting to the OU game. I got to find a ride, maybe with Amy. Homework is no fun. Haha. I love it when they mention Austin in songs. It's pretty cool. I have to clean my room. I need to call whats that place. Midnight Rodeo and ask about the cover and when Cory goes on stage. Hope it's not much. College is quite expensive man. I love this part. Ya. . we were. soutbound 35!. . haha. New song coming. . I feel like a little Palo Alto, Naked Sorority Girls. The lyrics in that one are pretty funny. A Sigma Chi guy showed me this song during Rush Week. They're too expenisve. I think Delta Sig is the way to go. They're cool. This song has an awesome beat. Haha almost done. This actually went by pretty fast. What to do after? Maybe find someone who knows how to do those calculus problems. But when it comes to love, its all Greek to me! haha. . . I love this song. Well this has been fun. Adios till next time. ",high,low,high,high,low
"I am thinking about Jason and wondering if we will get married. I am really happy but then there is Tim, who wants to get in my calculus class and my teacher is an absolute freak. what is a freak anyway I don't know but I have heard that there are a lot of freaks here. my roommate is asking me what I am doing and I want to tell her that I am typing on my computer. can't she see that? some people are just redundant. this paper is redundant and life is redundant. people keep making the same mistakes over and over and over again, and they don't see the pattern. it took me a while to see the pattern of my redundancy but now I see the pattern and I still make the same mistakes. I always make mistakes and I do the same stuff and I didn't even make a sorority and I really don't really care. I can't type fast at all now I am stealing my roommates thoughts maybe I just am really dependent on other people and I can't even think for my self. Hey sweetie? What's your name and major? I just heard my messages and they are not even my messages because I cannot think with my roommate complaining about how popular she is, I used to be popular I was so damn popular. And now I am just a number-my social security number Gone is my identity and my boyfriend and my family and my roommate is trying to sleep and I am getting tired. I wonder what you would say, yeah you, if I told you that I slept through your psychology class and don't really care about what everyone has going on in their messed up heads. I am doing this because I have to, I have to do this and I have to be responsible. I can't believe that my father yelled at me today He is lying when he says he loves me. He told me that the only person he ever loved is mom and if I am rude to her once more then I will suffer. like what is he going to do? Put me in a gas chamber or send me to jail worth no food?  I can't believe this stuff is happening to me, At the party tonight I felt miserable. I hate Jason for making me hurt so bad, I hate loving someone that is so far away. I hate the way I feel that I am missing out, but when I try to lead a normal college life I only wish I was at his house playing pool. I'm good at pool now. The holes on his pool table are smaller than average so that when I play on a real table I could really hustle somebody. Hove I ever been hustled? What all can one be hustled in? I must be the victim of some huge pimp like hustle that follows me around and lets me fall on my ass when I feel good about myself, I hate you Kevin Hogan, I hate your lies and my lies to everyone about you, I would have made it somewhere had you never kissed me and hustled me. I wish that this computer would stop beeping, Beep Beep Claire needs to sleep. ",high,high,low,low,low
"     I suppose I should go to the Student Health center tomorrow to see about this stupid blocked up ear of mine. I walked in there today, but it looked like there was a division for international students or something, and I, as usual, didn't bother to ask around. I'll just give them a call or something to verify before I trek over there next. I wonder if Rick checked in at Target for that television shelf mom saw. I'd like to go check for it and hang around with him this weekend, but I may be going back to Houston. It'll be good to see mom, dad, and Anna again. It's great up here, but it's obviously considerably different than it would be staying in the bed I've slept in for eighteen years. It's funny how that sort of thing works. Something so simple as a bed or a rug that has always seemed inconsequential can suddenly seem important once it's gone, though I suppose that's the way it goes regarding most things. Taking things for granted is much easier for most people. I really wish this bloody ear would unclog itself (bloody being the British exclamation, mind you. I have a tendency to drop into foreign exclamations some times, and I'm sure a writing assignment such as this wouldn't be particularly indicative of the situation surrounding the term. Yeesh, I rant quite a lot). I'm sure that last sentence is probably improperly punctuated, but I'm going to let it slide this time. Anyway, now I'm coming to the problem I expected would happen. I have nothing of real substance to put into the paper, though in essence that in itself is enough to fuel the writing. This is a stream of consciousness, after all, and noticing that being unable to come up with anything to type is just as fulfilling (and even as clichŽ)as any other topic. Huh. I seemed to have remember the alt command to activate the accented 'e'. Ahh, the little oddities one remembers from the subconscious. I find it incredibly amusing that I am typing this as though I were talking to someone as opposed to writing my traditionally lengthy essays. English class has taught me well, it would seem. Okay, I love this Coleman fold out chair and all, but the positioning at my desk is somewhat irritating. It's just a bit too low, so I have to set my ketboard in my lap to type, and the annoyance is exacerbated by the fact that my arms are bent when typing. It's uncomfortable, but not so much that I cannot type. I am going to arbitrarily place another paragraph now. This one has run on for far too long with out a break, irregardless of the fact that it is nothing but constantly flowing ideas.          There, much better, even though I momentarily forgot that tab changes the command field in Internet Explorer. I had to space over to start. Oh well, this is better now anyway. It's sort of a strange quirk I have that originated from my junior English class. Mrs. Eppich managed to ingrain certain formats into me, though that is not necessarily a bad thing. Hmm, scalp is itching. I think I want to go to the gym in the basement tonight. I haven't been in awhile, and since my ankle is better now, it will make things much more productive that my last excursion. And my computer just skipped on my Nightwish CD. That is annoying, though I supppose it's to be expectedf given the fact that I've got a few programs running. Five hundred and twelve megs of memory can only support so many applications. Listening to this music is great, though. There are so few metal bands with lead singers worth a shite (yes, there's another term from the British Isles I like to incorporate)despite the fact that many of them have very talented instrumentalists. Most symphonic metal bands have superb synth and guitar parts, but I have a grudge against bad vocalists. That's why I like Tarja so much. I mean, you can't go wrong with an operatic soprano and good instrumentals. Hansi KŸrsch is also good. Never before have I heard a growling voice with as much musicality to it. Okay, I took a rather long pause there to serach the character map to find the command for the 'u' with an umlaut. I like to spell things properly, and Hansi's last name being German, I figured it deserved to have the proper notation. Language is important. It is the tool we use to communicate ideas, therefore I think we should respect it and use it properly lest we forget how to speak to each other in a distinguishable fashion. It is for that reason I dislike dialects of English that butcher it. Those dialects are more about the attitude of those who use them than the language. My time is running short, so I'll just type this last sentence until it's out. Oh, hey, look at that. It's not strictly a twenty minute paper. Well, as much as I wouldn't mind continuing this, I do have some work to do elsewhere. I prefer to direct my writing and creativity towards my novels and stories anyway. I'll finish them one of these days. Really, I will. &lt;/excuses&gt;  I really ought to just sit down and write them. Oh, I suppose not everyone will recognize that command in the brackets up there. It means 'end excuses', basically. It's a habit I picked up in IRC, which is an internet relay program. Technically, though, it's part of writing HTML. The backslash is the command that signifies the time to turn a variable off, or something to that effect. I could be wrong. I never really got into HTML or any other sort of coding. I don't have the patience for it. Heh. Look at that. I've already continued typing well past the timer. Anyway, I suppoe as a final note it should be said that all my 'ahh's and 'heh's and so forth are just onomatopoeia. And now my machine is gritching about IE. Bloody stupid Microsoft. Ahh well, I suppose I'l just submit this now before I get shut off and lose it. ",low,low,low,high,high
"All this entire thing is going to be about is about my failing relationship with Ben. I think so many different things that I don't know what to think. I can't help but being hurt by him seeing another girl even though we both agreed that we were going to see other people. I just don't see how he could still love me but be with someone else, I just can't because I don't even have a desire to find another   boyfriend   or whatever. I'm hurt so badly right now, all I want in the world is for him to tell me how much he loves me and always will, but I don't want him to say it only because he knows that's what I want to hear. I have to talk to him about this but I'm so scared. I'm so scared that he'll tell me that he just doesn't love me anymore and that is going to kill me. I don't know what to think!! I mean, if he ever really loved me the way he said he did, I don't see how he could already be dating or talking to someone else. I don't know. I wouldn't mind him dating other girls, it's just that it's been a while since he's let me know how he feels about me, if I know and truly know that he loves me and I get just the occasional reminder of his love, then I truly don't think that I'll have a problem with him seeing other girls because I know that eventually I will be seeing other guys too. But even if I was seeing other guys right this instant, then I would still feel the same way about him. I would still love him as much as I ever did because when you truly care about someone, those feelings don't just go away because the person goes away and if they do, then you never really loved the person anyway. I just love him so much and I am sooo scared that when I talk to him tonight, I'm going to find out what I'm scared to death to find out. And even if he does still care about me, things are just so COMPLICATED!  I mean, take when I come down for Homecoming, yesterday he said he still wanted to see me but he didn't really seem very excited about it as I would hope, maybe he is but he just doesn't like to show it, I don't know. But he's talking to this girl and right now it might not be a big deal, and a month and a half from now, everything with her could have gone to crap or a month and a half from now it could have made its way into being something more and if it is something more by then, is he still going to want to see me if he has her??  That's another thing I have to talk to him about. I am so stressed out about this. It would make my day--my entire LIFE if things just go my way, if he just tells me and makes me truly believe how much he loves me then it will make me so happy because that means so so much to me. It's all I want in the world to know that he still loves me because I still love him so much. And deep down I truly believe that he really does love me. I don't think that he ever lied when he told me how he felt about me so I don't see how it could have changed after only a month or however long it's been. But sometimes I do wonder if love is just something that he throws around. Some of the things he's done and said seem so sincere that he couldn't possibly not truly love me, but sometimes I wonder how easy it will be for him to forget about me and fall in love with another girl who is more convenient for him. But convenience shouldn't be the fucking issue. The issue is his feelings for me and mine for him. Just because I'm gone shouldn't make his FEELINGS any different. It can make other things different and I don't expect him to sit around sulking over me and not dating anyone else for two whole years. ALL I WANT is to be certain of his love!! That's all I want!! Is it so much to ask??  God, I'm such a wuss. I'm sitting here crying over this and I don't even know if he has given it a second thought. Sometimes I think I'm the biggest loser for still being so attached to him but I can't just turn off my feelings. Maybe his love for me just wasn't as strong as mine for him, but he means so much to me and I care so much about him. I'm just so hurt and confused right now. And scared. I know that I really need to know how it is and if he doesn't care about me so I can move on, but I am scared to death to find that out because it is going to completely break my heart, I mean be completely devestating if I found out that he doesn't feel the same way I feel. Oh my gosh, I need to blow my nose so bad. I have so much stuff to do today. I have to go by the financial aid office and the co-op to pick up my check and find out about a weekend job. I need to work out and decide if I'm going to go to ultimate frisbee tonight. I need to study. I just wish time would hurry and go by. I can't wait til next weekend when my family comes to see me. I so wish Ben could come see me, I miss him SO much, but it just sometimes seems like he doesn't really want to see me that badly, even though he says he still want to see me and he has told me that he misses me. I just think that he doesn't think about it nearly as much as I do. I don't know though, it's very possible that he could think about it as much as I do. I don't show him how much I really want to see him, I mean, he knows I want to see him but he doesn't know the extent to which I really truly miss him and can't wait until the day I get to see him again and hold him again and hopefully kiss him again. I miss everything about him SO MUCH, I just can't get over it but still I don't show that to him. So he could want to see me just as much as I want to see him but just not show it to me. He could still love me just as much as I love him but just not be showing it to me because I haven't been showing it to him. Maybe he hasn't said   I love you   because I haven't said it to him either, but I don't say it to him because he doesn't say it to me. It's possible that this is just a vicious cycle and that he really loves me and theres nothing to worry about. I just have to talk to him. It's possible that no matter how many girls he dates that he will still love me as much as ever, I just have to find it out. By the time I get to see him again he may not have anyone else, he might be so excited to see me. I don't know. . I just don't know, all I really know is that I HAVE to talk to him ",low,high,low,low,low
